"subj";"group";"tree";"cat";"rt"
12;0;1;3;6,4723462945009
12;0;1;3;7,06219163228656
12;0;1;3;6,62007320653036
12;0;1;3;6,48920493132532
12;0;1;3;6,45833828334479
12;0;1;3;6,72623340235875
12;0;1;3;6,44730586254121
12;0;1;3;6,31716468674728
13;0;0;0;6,19440539110467
13;0;0;0;6,52941883826223
13;0;0;0;6,20455776256869
13;0;0;0;6,31535800152233
13;0;0;0;6,58063913728495
13;0;0;0;6,51619307604296
13;0;0;0;6,38012253689976
13;0;0;0;6,63068338564237
13;0;0;0;6,12249280951439
13;0;0;0;6,69084227741856
13;0;0;0;6,63068338564237
13;0;0;0;6,30444880242198
13;0;0;0;6,41999492814714
13;0;0;0;6,49677499018586
13;0;0;0;6,78332520060396
13;0;0;0;6,30444880242198
13;0;0;0;6,71174039505618
13;0;0;0;6,96034772910131
13;0;0;0;6,66568371778241
13;0;0;1;6,72743172485086
13;0;0;1;6,92559519711047
13;0;0;1;6,79682371827486
13;0;0;1;6,72383244082121
13;0;0;1;6,57228254269401
13;0;0;1;6,99117688712121
13;0;0;1;6,77878489768518
13;0;0;1;6,84268328223842
13;0;0;1;6,79682371827486
13;0;0;1;6,24997524225948
13;0;0;1;6,7990558620588
13;0;1;2;6,63987583382654
13;0;1;2;6,78105762593618
13;0;1;2;6,52209279817015
13;0;1;2;6,63856778916652
13;0;1;2;6,40687998606931
13;0;1;2;6,54965074223381
13;0;1;2;6,75227037614174
13;0;1;2;6,91968384984741
13;0;1;2;6,58479139238572
13;0;1;2;6,16331480403464
13;0;1;2;6,15697898558556
13;0;1;3;6,40522845803084
13;0;1;3;6,54391184556479
13;0;1;3;7,18462915271731
13;0;1;3;6,06842558824411
13;0;1;3;6,3818160174061
13;0;1;3;6,52502965784346
13;0;1;3;6,13988455222626
13;0;1;3;6,76041469108343
13;0;1;3;6,67203294546107
13;0;1;3;6,20859002609663
13;0;1;3;6,23244801655052
13;0;1;3;6,68085467879022
13;0;1;3;6,47697236288968
13;0;1;3;6,08449941307517
13;0;1;3;6,69826805411541
13;0;1;3;6,79122146272619
13;0;1;3;7,42297125104942
13;0;1;3;6,63594655568665
13;0;1;3;6,31354804627709
14;0;0;0;6,71901315438526
14;0;0;0;6,5206211275587
14;0;0;0;6,43615036836943
14;0;0;0;6,82979373751242
14;0;0;0;6,75343791859778
14;0;0;0;6,62671774924902
14;0;0;0;6,46302945692067
14;0;0;0;6,44888939414686
14;0;0;0;6,39359075395063
14;0;0;0;6,361302477573
14;0;0;0;6,69208374250663
14;0;0;0;6,47850964220857
14;0;0;0;6,74170069465205
14;0;0;0;6,34212141872115
14;0;0;0;6,59441345974978
14;0;0;0;6,29156913955832
14;0;0;0;6,41673228251233
14;0;0;0;6,40025744530882
14;0;0;1;6,57646956904822
14;0;0;1;6,76157276880406
14;0;0;1;6,58202513889283
14;0;0;1;6,71901315438526
14;0;0;1;6,48157712927643
14;0;0;1;6,88653164253051
14;0;0;1;6,69579891705849
14;0;0;1;6,53233429222235
14;0;0;1;6,73459165997295
14;0;0;1;7,01571242048723
14;0;0;1;6,89770494312864
14;0;0;1;6,53958595561767
14;0;1;2;6,61472560020376
